target,source
Miłość w Niemczech (1983),Rainer Basedow
Miłość w Niemczech (1983),Herbert Weißbach
Miłość w Niemczech (1983),Gérard Desarthe
Miłość w Niemczech (1983),Marie-Hélène Dasté
Miłość w Niemczech (1983),Serge Merlin
Korczak (1990),Zbigniew Zamachowski
Korczak (1990),Zygmunt Kęstowicz
Korczak (1990),Robert Atzorn
Korczak (1990),Stanisława Celińska
Korczak (1990),Wojciech Pszoniak
Korczak (1990),Aleksander Bardini
Korczak (1990),Adam Siemion
Korczak (1990),Danuta Szaflarska
Korczak (1990),Krystyna Zachwatowicz
Korczak (1990),Marzena Trybała
Korczak (1990),Jan Peszek
Korczak (1990),Olaf Lubaszenko
Korczak (1990),Teresa Budzisz-Krzyżanowska
Korczak (1990),Agnieszka Krukówna
Korczak (1990),Anna Mucha
Korczak (1990),Ewa Dałkowska
Korczak (1990),Włodzimierz Press
Korczak (1990),Andrzej Kopiczyński
Korczak (1990),Janusz Bukowski
Korczak (1990),Wojciech Klata
Korczak (1990),Aleksander Trąbczyński
Korczak (1990),Alicja Migulanka
Korczak (1990),Stanisław Brudny
Korczak (1990),Tadeusz Hanusek
Korczak (1990),Wojciech Skibiński
Korczak (1990),Zbigniew Suszyński
Korczak (1990),Grzegorz Pawłowski
Korczak (1990),Jacek Domański
Korczak (1990),Piotr Kozłowski
Korczak (1990),Michał Staszczak
Lotna (1959),Roman Polański
Lotna (1959),Wiesław Gołas
Lotna (1959),Bożena Kurowska
Lotna (1959),Irena Malkiewicz
Lotna (1959),Adam Pawlikowski
Lotna (1959),Jerzy Moes
Lotna (1959),Jerzy Pichelski
Lotna (1959),Bronisław Dardziński
Lotna (1959),Mieczysław Łoza
W ciemności (2011),Benno Fürmann
W ciemności (2011),Maria Schrader
W ciemności (2011),Herbert Knaup
W ciemności (2011),Joachim Paul Assböck
W ciemności (2011),Agnieszka Grochowska
W ciemności (2011),Kinga Preis
W ciemności (2011),Robert Więckiewicz
W ciemności (2011),Jeremias Koschorz
W ciemności (2011),Weronika Rosati
W ciemności (2011),Etel Szyc
W ciemności (2011),Andrzej Mastalerz
W ciemności (2011),Dorota Liliental
W ciemności (2011),Filip Garbacz
W ciemności (2011),Ireneusz Czop
W ciemności (2011),Krzysztof Skonieczny
W ciemności (2011),Maja Bohosiewicz
W ciemności (2011),Marcin Bosak
W ciemności (2011),Michał Żurawski
W ciemności (2011),Olena Leonenko
W ciemności (2011),Piotr Głowacki
W ciemności (2011),Piotr Nowak
W ciemności (2011),Julia Kijowska
W ciemności (2011),Frank Köbe
Katyń (2007),Jan Englert
Katyń (2007),Maja Komorowska
Katyń (2007),Stanisława Celińska
Katyń (2007),Danuta Stenka
Katyń (2007),Maja Ostaszewska
Katyń (2007),Artur Żmijewski
Katyń (2007),Andrzej Chyra
Katyń (2007),Magdalena Cielecka
Katyń (2007),Siergiej Garmasz
Katyń (2007),Wiktoria Gąsiewska
Katyń (2007),Krzysztof Globisz
Katyń (2007),Paweł Małaszyński
Katyń (2007),Władysław Kowalski
Katyń (2007),Jacek Braciak
Żołnierze wolności (1977),Zdeněk Řehoř
Żołnierze wolności (1977),Michaił Uljanow
Żołnierze wolności (1977),György Bánffy
Żołnierze wolności (1977),Károly Kovács
Żołnierze wolności (1977),Ladislav Chudík
Żołnierze wolności (1977),Edward Linde-Lubaszenko
Żołnierze wolności (1977),Horst Preusker
Żołnierze wolności (1977),Mariusz Dmochowski
Żołnierze wolności (1977),Iwan Pieriewierziew
Żołnierze wolności (1977),Nikołaj Karaczencow
Żołnierze wolności (1977),Wasilij Łanowoj
Żołnierze wolności (1977),Július Pántik
Żołnierze wolności (1977),Nikolay Alekseyev
Żołnierze wolności (1977),Janusz Bylczyński
Żołnierze wolności (1977),Vladlen Davydov
Żołnierze wolności (1977),Emil Karewicz
Żołnierze wolności (1977),Viktor Markin
Żołnierze wolności (1977),Yevgeny Matveyev
Żołnierze wolności (1977),Józef Nalberczak
Żołnierze wolności (1977),Jerzy Turek
Żołnierze wolności (1977),Zofia Czerwińska
Żołnierze wolności (1977),Anton Gorchev
Żołnierze wolności (1977),Igor Śmiałowski
Żołnierze wolności (1977),Naum Szopow
Żołnierze wolności (1977),Vladimír Ráž
Żołnierze wolności (1977),Wiktor Grotowicz
Żołnierze wolności (1977),Zbigniew Józefowicz
Żołnierze wolności (1977),Bohumil Pastorek
Żołnierze wolności (1977),Paweł Nowisz
Żołnierze wolności (1977),Ivan Mistrík
Żołnierze wolności (1977),Pavel Poppandov
Żołnierze wolności (1977),Silviu Stănculescu
Żołnierze wolności (1977),Elena Dacian
Żołnierze wolności (1977),Dan Dobre
Żołnierze wolności (1977),Horst Gill
Żołnierze wolności (1977),Jan Barto
Zabić Sekala (1998),Bogusław Linda
Zabić Sekala (1998),Gustav Nezval
Zabić Sekala (1998),Jiří Bartoška
Zabić Sekala (1998),Milan Riehs
Zabić Sekala (1998),Olaf Lubaszenko
Zabić Sekala (1998),Vlasta Chramostová
Zabić Sekala (1998),Jiří Holý
Zabić Sekala (1998),Agnieszka Sitek
Zabić Sekala (1998),Anton Šulík
Zabić Sekala (1998),Jan Šťastný
Zabić Sekala (1998),Miloslav Mejzlík
Zabić Sekala (1998),Martin Sitta
Zabić Sekala (1998),Petra Lustigová
Zabić Sekala (1998),Josef Bulík
Zabić Sekala (1998),Dana Černá
Zabić Sekala (1998),Bohuslav Ličman
Zabić Sekala (1998),Zdeněk Kozák
Zabić Sekala (1998),Q100977063
Zabić Sekala (1998),Q104590838
Samson (1961),Zygmunt Hübner
Samson (1961),Beata Tyszkiewicz
Samson (1961),Serge Merlin
